Tipo;Notícia;Link
Secundário;SIGA: Sampaio Corrêa vira sobre Figueirense em duelo pela Série B;"https://globoesporte.globo.com/sc/futebol/brasileirao-serie-b/jogo/23-11-2020/figueirense-sampaio-correia.ghtml"
Secundário;Paraná negocia com atacante que cumpre pena por agressões contra a ex-namorada;"https://globoesporte.globo.com/pr/futebol/noticia/parana-clube-negocia-com-jogador-que-cumpre-pena-por-violencia-contra-mulher.ghtml"
Secundário;Ibra reclama por ter nome e rosto no Fifa 21: 'Quem permitiu?';"https://globoesporte.globo.com/esports/fifa/noticia/fifa-21-ibrahimovic-reclama-de-ter-nome-e-face-no-jogo-quem-deu-permissao.ghtml"
Secundário;John Kennedy faz 3 no sub-20 do Flu: 'Quero ser uma máquina';"https://globoesporte.globo.com/futebol/times/fluminense/noticia/apos-hat-trick-no-sub-20-john-kennedy-do-fluminense-projeta-quero-ser-uma-maquina-de-fazer-gols.ghtml"
Secundário;Brasil é quem mais exporta jogadores no mundo; veja ranking;"https://globoesporte.globo.com/futebol/futebol-internacional/noticia/brasil-e-o-pais-que-mais-exporta-jogadores-indica-levantamento.ghtml"
Secundário;Após 6 a 0, Alemanha marca reunião para discutir futuro de Löw;"https://globoesporte.globo.com/futebol/futebol-internacional/futebol-alemao/noticia/federacao-alema-marca-reuniao-para-discutir-futuro-de-joachim-low-na-selecao.ghtml"
Secundário;'Soco de 450kg': GE explica riscos da volta de Tyson aos 54 anos;"https://globoesporte.globo.com/boxe/noticia/especialistas-debatem-riscos-da-volta-de-tyson-ao-ringue-soco-pode-atingir-o-impacto-de-450kg.ghtml"
Secundário;Vettel diz que questão da Ferrari não é só potência do motor;"https://globoesporte.globo.com/motor/formula-1/noticia/sebastian-vettel-diz-que-problema-da-ferrari-nao-e-apenas-potencia-inferior-do-motor.ghtml"
Secundário;Em raro registro, Brown se derrete pela filha Clara Buarque;"https://revistamarieclaire.globo.com/Celebridades/noticia/2020/11/carlinhos-brown-posta-clique-raro-com-filha-e-se-derrete-honra-de-ser-teu-pai.html"
Secundário;Influencer posa com Luan em viagem e brinca sobre altura;"https://vogue.globo.com/celebridade/noticia/2020/11/apontada-como-affair-de-luan-santana-franciny-ehlke-brinca-com-diferenca-de-altura-entre-eles.html?123"
Secundário;Preta Gil comemora os 5 anos da netinha e se emociona; vídeo;"https://revistaglamour.globo.com/Celebridades/noticia/2020/11/preta-gil-comemora-aniversario-da-neta-e-se-emociona-chorei-tanto.html"
Secundário;'Lindo, sensível e inconsequente', diz Marjorie sobre declaração de amor de Selton;"https://extra.globo.com/famosos/marjorie-estiano-fala-de-declaracao-de-amor-feita-por-selton-mello-em-rede-nacional-lindo-sensivel-inconsequente-24761384.html"
Secundário;Alicia Silverstone mostra filho de 9 anos cortando o cabelão;"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/alicia-silverstone-mostra-filho-de-9-anos-cortando-os-cabelos-longos-decisao-dele.html"
Secundário;Celico diz que relação com Carol Dias não foi fácil no início: 'Fofocas';"https://vogue.globo.com/celebridade/noticia/2020/11/carol-celico-fala-sobre-relacao-com-carol-dias-no-inicio-nao-foi-facil.html"
Secundário;Daniela Escobar baba pela neta do ex marido Jayme Monjardim: 'Amor muda as pessoas';"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/daniela-escobar-baba-pela-neta-do-ex-jayme-monjardim-o-poder-do-amor-muda-pessoas.html"
Secundário;Bia e Branca mostram infiltrações: 'Podíamos ter perdido os dentes';"https://revistaquem.globo.com/QUEM-Saude/noticia/2020/11/branca-feres-e-bia-trocam-lentes-apos-infiltracoes-e-caries-podiamos-ter-perdido-os-dentes.html"
Secundário;Juliana Paes curte café da manhã em cenário paradisíaco;"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/juliana-paes-curte-cafe-da-manha-em-cenario-paradisiaco.html"
Secundário;Ben Affleck vira meme após ser clicado com máscara minúscula;"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/ben-affleck-vira-meme-apos-ser-clicado-com-mascara-minuscula-parece-absorvente.html"
Secundário;Festas sem máscaras e com aglomeração seguem acontecendo na pandemia;"https://globoplay.globo.com/v/9044545/"
Secundário;Atleta vende casadinho para competir;"https://globoplay.globo.com/v/9044334/"
Secundário;Vestibulares se adaptam e terão até prova online;"https://globoplay.globo.com/v/9044203/"
Secundário;Motorista perde o carro ao descer em engarrafamento;"https://globoplay.globo.com/v/9044043/"
Secundário;Mulher que fez ofensas está em prisão domiciliar;"https://globoplay.globo.com/v/9044200/"
Secundário;Black Friday: jogos de sucesso ficam mais baratos;"https://www.techtudo.com.br/noticias/2020/11/black-friday-da-psn-tem-the-last-of-us-2-e-ghost-of-tsushima-mais-baratos.ghtml"
Secundário;Melhor jogo do ano: confira os vencedores de 2020;"https://www.techtudo.com.br/noticias/2020/11/lol-e-free-fire-sao-eleitos-jogos-do-ano-pelo-esports-awards-2020-esports.ghtml"
Secundário;Alvo de racismo no Fifa 21 'cobra' apoio de brasileiros;"https://globoesporte.globo.com/esports/fifa/noticia/fifa-21-apos-sofrer-com-racismo-tabata-fala-em-decepcao-e-conscientizacao-da-comunidade.ghtml"
Secundário;Hamilton e Mahomes no modo Volta do Fifa 21; veja;"https://globoesporte.globo.com/esports/fifa/noticia/fifa-21-tera-hamilton-mahomes-e-antetokounmpo-no-modo-volta-veja-nomes.ghtml"
Secundário;Cantora mostra como vive em microcasa de 12 m² em SC;"https://vogue.globo.com/lifestyle/noticia/2020/11/uma-tour-pelo-eco-casa-de-luisa-matsushita-do-css.html"
Secundário;Método propõe organizar a casa para acalmar a mente;"https://revistacasaejardim.globo.com/Casa-e-Jardim/Dicas/Organizacao/noticia/2020/11/conheca-o-metodo-de-organizacao-que-sera-tendencia-em-2021.html"
Secundário;5 ideias de organização que podem atrapalhar e frustrar;"https://casavogue.globo.com/Casa-Vogue-Experience/noticia/2020/11/5-ideias-de-organizacao-que-atrapalham-mais-do-que-ajudam.html"
Secundário;Influenciadora fitness de 74 anos dá 'aula' de autoestima;"https://vogue.globo.com/atualidades/noticia/2020/11/sucesso-na-web-conheca-influenciadora-fitness-de-74-anos-que-da-um-show-de-autoestima.html"
Secundário;Confira três maneiras de estudar e aprender melhor;"https://revistagalileu.globo.com/Sociedade/Comportamento/noticia/2020/11/3-maneiras-de-estudar-e-aprender-melhor-segundo-pesquisas-de-cognicao.html"
Secundário;Casal mantém festa para não afetar fornecedores negros;"https://revistamarieclaire.globo.com/Noticias/noticia/2020/11/casal-mantem-cerimonia-de-casamento-para-nao-afetar-fornecedores-negros.html"
Secundário;Bibi foge com Rubinho e é abandonada por Caio;"https://gshow.globo.com/novelas/a-forca-do-querer/vem-por-ai/noticia/bibi-foge-com-rubinho-e-e-abandonada-por-caio.ghtml"
Secundário;Guiomar engana Alberto e ajuda Ester a virar o jogo;"https://gshow.globo.com/novelas/flor-do-caribe/vem-por-ai/noticia/guiomar-engana-alberto-e-ajuda-ester-a-virar-o-jogo.ghtml"
Secundário;Fio se aproxima de Clara e rola clima: 'Bom te ver';"https://gshow.globo.com/novelas/malhacao/edicao-especial/vem-por-ai/noticia/fio-se-aproxima-de-clara-e-rola-clima-bom-te-ver-de-pertinho.ghtml"
Secundário;Esposa de Moro explica voto em Bolsonaro após Lula;"https://gshow.globo.com/programas/conversa-com-bial/noticia/eleitora-de-lula-em-2002-esposa-de-moro-explica-voto-em-bolsonaro-em-2018-era-o-que-tinha-para-hoje.ghtml"
Secundário;Faixa OFF Doc's: documentário B-Side inédito! Hoje, às 20h;"https://outlook.office365.com/mail/inbox/id/AAQkADNjOWEzZGVkLTNhMzAtNDRmMC05MTQwLWU0ZWFjNDcyMTRkOQAQADBbRgVbWkhqs94sYkw9yOs%3D?state=0"
Secundário;Papo de Segunda no GNT é para colocar a resenha em dia!;"https://globoplay.globo.com/transmissoes/7339128/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card2&utm_term=gnt-papodesegunda"
Secundário;Tom Calvacante é 'Dra. Darci' no Multishow!;"https://globoplay.globo.com/dra-darci/t/yCkwxRMjsy/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card3&utm_term=multishow-dradarci"
